Model,Accuracy,F1-Score
efficientnetb0.h5,0.9959209287731409,0.9718604487429747
vgg16.h5,0.9877627863194226,0.9481684138041394
resnet50.h5,0.9962347034828993,0.9759192464071705
inceptionv3.h5,0.7524317540006276,0.707139998515151
mobilenet.h5,0.9359899592092877,0.8820121430255802
cnn_model.h5,0.8770003137747098,0.8002731964928403
